,Char,x0,x1,width,y0,y1,height
249,a,184.35027000000005,188.38927000000004,4.038999999999987,39.57959,46.57959,7.0
250,n,188.17927000000003,192.05027000000004,3.8710000000000093,39.57959,46.57959,7.0
251,t,191.64427000000003,194.45127000000002,2.806999999999988,39.57959,46.57959,7.0
252,i,194.24127000000001,195.73227000000003,1.4910000000000139,39.57959,46.57959,7.0
253,t,195.52227000000002,198.32927,2.806999999999988,39.57959,46.57959,7.0
254,ă,197.97927,202.01827,4.038999999999987,39.57959,46.57959,7.0
255,ț,201.80827,204.61526999999998,2.806999999999988,39.57959,46.57959,7.0
256,i,204.40526999999997,205.89627,1.4910000000000139,39.57959,46.57959,7.0
257, ,205.68626999999998,207.50626999999997,1.8199999999999932,39.57959,46.57959,7.0
258,d,207.29626999999996,211.40526999999997,4.109000000000009,39.57959,46.57959,7.0
259,e,211.19526999999997,215.09426999999997,3.899000000000001,39.57959,46.57959,7.0
260,s,214.88426999999996,217.80326999999997,2.919000000000011,39.57959,46.57959,7.0
261,t,217.46026999999995,220.26726999999994,2.806999999999988,39.57959,46.57959,7.0
262,i,220.05726999999993,221.54826999999995,1.4910000000000139,39.57959,46.57959,7.0
263,n,221.33826999999994,225.20926999999995,3.8710000000000093,39.57959,46.57959,7.0
264,a,224.99226999999993,229.03126999999992,4.038999999999987,39.57959,46.57959,7.0
265,t,228.8212699999999,231.6282699999999,2.806999999999988,39.57959,46.57959,7.0
266,e,231.2782699999999,235.1772699999999,3.899000000000001,39.57959,46.57959,7.0
267, ,234.9672699999999,236.7872699999999,1.8199999999999932,39.57959,46.57959,7.0
268,e,236.57726999999988,240.4762699999999,3.899000000000001,39.57959,46.57959,7.0
269,x,239.98626999999988,243.32526999999988,3.3389999999999986,39.57959,46.57959,7.0
270,c,242.76526999999987,246.18826999999987,3.423000000000002,39.57959,46.57959,7.0
271,l,245.97826999999987,247.46926999999988,1.4910000000000139,39.57959,46.57959,7.0
272,u,247.25926999999987,251.1372699999999,3.8780000000000143,39.57959,46.57959,7.0
273,s,250.92726999999988,253.8462699999999,2.919000000000011,39.57959,46.57959,7.0
274,i,253.63626999999988,255.1272699999999,1.4910000000000139,39.57959,46.57959,7.0
275,v,254.9172699999999,258.4592699999999,3.5420000000000016,39.57959,46.57959,7.0
276, ,258.24926999999985,260.06926999999985,1.8199999999999932,39.57959,46.57959,7.0
277,c,259.85926999999987,263.28226999999987,3.423000000000002,39.57959,46.57959,7.0
